SMILES,pIC50,mol,num_atoms,logP,predicted_pIC50,predicted_logP
CN1CCN(c2cccc(Nc3nc4c(NCc5ccccc5F)cccn4n3)c2)CC1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941930>,32,3.975900000000002,6.8094821850126515,3.756925722699175
N#CC1CC(NCCC(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,7.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a2947840>,37,3.794480000000002,6.45403807744305,4.005952530170831
Cc1cccc(Nc2sc(-c3cccc(F)c3F)cc2C(N)=O)n1,7.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a2947990>,24,4.239220000000002,6.520992776771977,2.6392043100488034
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C)c3)ncc2Cl)c1,6.97,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945690>,27,3.343700000000001,6.408927985286353,2.8777282111957425
CN1CCN(c2ccc(Nc3nc4c(Nc5cccc(S(C)(=O)=O)c5)cccn4n3)cc2)CC1,6.49,<rdkit.Chem.rdchem.Mol object at 0x7f59a293e880>,34,3.371800000000002,6.777268036261132,3.589284657198366
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)C(C#N)C1)C1CC1,7.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945e70>,31,4.139580000000002,6.718195414101341,3.1332065946810648
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc(-n3nccn3)c2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a29447b0>,31,2.3242000000000003,6.718195414101341,3.1332065946810648
CS(=O)(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,6.72,<rdkit.Chem.rdchem.Mol object at 0x7f59a29415b0>,23,0.4977000000000005,6.409231753566496,2.313524372864757
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(S(=O)(=O)NC4CC4)cc3)ncc2C1,7.27,<rdkit.Chem.rdchem.Mol object at 0x7f59a294ae30>,44,5.803120000000004,6.163652857142857,4.943121094285718
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31def10>,22,2.0693200000000003,6.215740248700939,2.3153974812625266
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(CC(=O)N4CCN(C)CC4)cc3)ncc2C1=O,7.21,<rdkit.Chem.rdchem.Mol object at 0x7f59a2949930>,48,5.319120000000004,6.853910000000006,5.099047080000005
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ea40>,30,3.8213000000000026,6.714130239139373,3.2103147269049224
CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(-c5cc(Cl)ccc5OCC(F)F)cccn4n3)cc2CC1,6.94,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944c10>,39,4.926000000000003,6.562848132670848,4.635426014385055
CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccccc4)n3)C(C#N)C2)C1,7.4,<rdkit.Chem.rdchem.Mol object at 0x7f59a294e0a0>,29,3.3007800000000023,6.46675862735859,2.9800680599646205
FC(F)(F)c1cccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,7.37,<rdkit.Chem.rdchem.Mol object at 0x7f59a294d150>,31,4.846900000000004,6.718195414101341,3.1332065946810648
COC(C)(C)CNC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,7.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a294c040>,31,3.626980000000001,6.718195414101341,3.1332065946810648
COc1ncccc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,6.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a293aea0>,37,5.658000000000005,6.45403807744305,4.005952530170831
